,JoinCode,District,PLM,INC,StPoll,Final,Rating,RepWins
0,AK1,AK-1,14.6111,-3.0,-10.5,0.452217000000001,Tossup,51.1%
1,AL1,AL-1,31.6703,28.3,21.22159252,30.6709398388,Solid R,100.0%
2,AL2,AL-2,33.47084,29.4,22.158982199999997,32.174992517999996,Solid R,100.0%
3,AL3,AL-3,39.00137,34.1,25.84106569,37.3619792261,Solid R,100.0%
4,AL4,AL-4,64.80537,61.8,46.52723833,64.0403183477,Solid R,100.0%
5,AL5,AL-5,32.03314,0.0,20.54667245,30.092779790499996,Solid R,100.0%
6,AL6,AL-6,35.87194,29.9,22.82153556,33.7656713364,Solid R,100.0%
7,AL7,AL-7,-28.7539,-32.0,-24.4452702,-29.841569438,Solid D,0.0%
8,AR1,AR-1,43.32125,40.9,30.61824696,42.7565779024,Solid R,100.0%
9,AR2,AR-2,16.87272,13.1,9.775014095,15.66593812555,Solid R,100.0%
10,AR3,AR-3,28.570659999999997,23.4,17.78118631,26.791228753899993,Solid R,100.0%
11,AR4,AR-4,38.836220000000004,35.2,26.48476163,37.739508924700004,Solid R,100.0%
12,AZ1,AZ-1,6.512875,-1.5,-0.6439563460000001,3.4617213712599995,Lean R,73.7%
13,AZ2,AZ-2,15.10014,7.9,6.350600917,12.41798043273,Solid R,100.0%
14,AZ3,AZ-3,-44.183859999999996,-50.6,-38.05220652,-46.668436698799994,Solid D,0.0%
15,AZ4,AZ-4,-1.464125,-10.3,-7.182767916,-4.88724861204,Likely D,14.1%
16,AZ5,AZ-5,23.905479999999997,16.4,12.83089177,21.112890921299996,Solid R,100.0%
17,AZ6,AZ-6,6.932475,0.0,0.26939009,4.3041424121,Likely R,82.7%
18,AZ7,AZ-7,-27.017559999999996,-32.8,-24.67193164,-29.189886031599997,Solid D,0.0%
19,AZ8,AZ-8,21.531679999999998,13.5,10.71415331,18.507655383899998,Solid R,100.0%
20,AZ9,AZ-9,33.10751,25.8,19.91730107,30.4214674383,Solid R,100.0%
21,CA1,CA-1,24.24,19.1,14.521419400000001,22.463579386,Solid R,100.0%
22,CA2,CA-2,-44.6589,-49.5,-37.45481125,-46.468502762499995,Solid D,0.0%
23,CA3,CA-3,7.481730000000001,0.0,1.505913279,5.415493262510001,Likely R,89.9%
24,CA4,CA-4,-31.46477,-36.6,-27.64530729,-33.3697039301,Solid D,0.0%
25,CA5,CA-5,16.828329999999998,12.3,9.282293785,15.297097811649998,Solid R,100.0%
26,CA6,CA-6,-14.1761,-18.4,-14.003705100000001,-15.649323519,Solid D,0.0%
27,CA7,CA-7,-33.91067,-37.2,-28.3753152,-35.028982387999996,Solid D,0.0%
28,CA8,CA-8,-50.619040000000005,-54.0,-41.07956077,-51.8158457313,Solid D,0.0%
29,CA9,CA-9,-8.710836,-12.6,-9.663002007000001,-10.027564304830001,Solid D,1.0%
30,CA10,CA-10,-34.2542,-39.4,-29.76338402,-36.170208973799994,Solid D,0.0%
31,CA11,CA-11,-71.46574,-74.5,-56.65027121,-72.5625849349,Solid D,0.0%
32,CA12,CA-12,-76.76467,-80.7,-61.20916634,-78.2607196746,Solid D,0.0%
33,CA13,CA-13,-7.451671000000001,0.0,-8.441933164,-8.46721925316,Solid D,1.2%
34,CA14,CA-14,-41.99284,-45.5,-34.62603522,-43.2235991018,Solid D,0.0%
35,CA15,CA-15,-54.17324,0.0,-43.61570679,-54.6962604851,Solid D,0.0%
36,CA16,CA-16,-49.6167,-53.0,-40.32219115,-50.8121608935,Solid D,0.0%
37,CA17,CA-17,-45.6632,-47.4,-36.32888271,-46.1426330699,Solid D,0.0%
38,CA18,CA-18,-41.7609,-44.1,-33.74072707,-42.48972467829999,Solid D,0.0%
39,CA19,CA-19,-35.66684,-39.6,-30.09596856,-37.0656331064,Solid D,0.0%
40,CA20,CA-20,30.45263,24.9,18.97378645,28.513648750499996,Solid R,100.0%
41,CA21,CA-21,-16.228070000000002,-20.3,-15.46474894,-17.640869668599997,Solid D,0.0%
42,CA22,CA-22,-10.3146,0.9,0.0,-3.978862,Lean D,21.6%
43,CA23,CA-23,15.2223,9.8,7.523311842999999,13.303566171669999,Solid R,100.0%
44,CA24,CA-24,-23.947370000000003,-29.1,-21.96505755,-25.842153609500002,Solid D,0.0%
45,CA25,CA-25,-12.1035,-15.3,-11.81044694,-13.130853388599999,Solid D,0.0%
46,CA26,CA-26,-15.22424,-20.0,-15.1324837,-16.936806552999997,Solid D,0.0%
47,CA27,CA-27,-7.75737,0.1,-3.0,-4.8549638999999996,Likely D,13.2%
48,CA28,CA-28,-30.3726,-34.2,-26.02386217,-31.713586897299997,Solid D,0.0%
49,CA29,CA-29,-50.88554,-51.3,-39.47883153,-50.809597555699995,Solid D,0.0%
50,CA30,CA-30,-44.7397,-46.2,-35.46177058,-45.09828070019999,Solid D,0.0%
51,CA31,CA-31,-29.31257,-31.1,-23.98189208,-29.7754134352,Solid D,0.0%
52,CA32,CA-32,-38.44873,-40.8,-31.24074275,-39.1750155975,Solid D,0.0%
53,CA33,CA-33,-23.13004,-25.3,-19.53402228,-23.742594173199997,Solid D,0.0%
54,CA34,CA-34,-63.6506,-64.2,-49.22422815,-63.662499423499995,Solid D,0.0%
55,CA35,CA-35,-26.4464,-27.6,-21.42702262,-26.6304536078,Solid D,0.0%
56,CA36,CA-36,-40.48007,-44.1,-33.54935826,-41.7556900994,Solid D,0.0%
57,CA37,CA-37,-72.13327,0.0,-56.02087487,-71.6970405603,Solid D,0.0%
58,CA38,CA-38,-28.38617,-30.2,-23.29662966,-28.858174365399996,Solid D,0.0%
59,CA39,CA-39,-23.33524,-26.1,-20.05076921,-24.203593554899996,Solid D,0.0%
60,CA40,CA-40,3.841196,-1.9,-1.286175906,1.7589007448599996,Lean R,65.9%
61,CA41,CA-41,6.3489629999999995,1.1,0.911339562,4.48383690778,Likely R,82.9%
62,CA42,CA-42,-43.725570000000005,0.0,-35.06720541,-43.887389632899996,Solid D,0.0%
63,CA43,CA-43,-63.036469999999994,-63.8,-48.88942698,-63.1388455162,Solid D,0.0%
64,CA44,CA-44,-47.298140000000004,-48.2,-37.0592471,-47.423006298999994,Solid D,0.0%
65,CA45,CA-45,-4.789704,2.0,-2.0,-2.75116088,Lean D,30.8%
66,CA46,CA-46,-29.683609999999998,-30.4,-23.61200217,-29.6875781973,Solid D,0.0%
67,CA47,CA-47,-6.151937,-11.1,-8.369261907,-7.91720110583,Solid D,2.1%
68,CA48,CA-48,18.60836,12.3,9.548248068,16.317220366919997,Solid R,100.0%
69,CA49,CA-49,-5.7162370000000005,-11.4,-8.48644697,-7.796279799299999,Solid D,3.2%
70,CA50,CA-50,-27.5448,-33.1,-24.93298957,-29.620818803299997,Solid D,0.0%
71,CA51,CA-51,-22.2579,-27.3,-20.61893584,-24.101278729599997,Solid D,0.0%
72,CA52,CA-52,-36.352470000000004,-36.9,-28.55786154,-36.2995853626,Solid D,0.0%
73,CO1,CO-1,-55.20527,-61.3,-46.20034239,-57.57771314909999,Solid D,0.0%
74,CO2,CO-2,-32.81107,-39.9,-29.85157097,-35.5577868693,Solid D,0.0%
75,CO3,CO-3,14.34963,8.3,6.481511218,12.15956884042,Solid R,99.7%
76,CO4,CO-4,25.3082,18.6,14.37721416,22.861131770399997,Solid R,100.0%
77,CO5,CO-5,17.88243,10.1,8.103044866,14.956843057539999,Solid R,100.0%
78,CO6,CO-6,-16.727729999999998,-23.8,-17.66603814,-19.4295994166,Solid D,0.0%
79,CO7,CO-7,-5.924933,0.0,-10.21893624,-8.9757845156,Solid D,2.3%
80,CO8,CO-8,2.542467,0.0,5.0,5.504959489999999,Likely R,89.1%
81,CT1,CT-1,-20.56025,-28.1,-20.85137795,-23.471768285499998,Solid D,0.0%
82,CT2,CT-2,-2.942917,-11.4,-8.072085228999999,-6.206909798009999,Likely D,6.3%
83,CT3,CT-3,-11.91095,-19.7,-14.45516204,-14.909208307599997,Solid D,0.0%
84,CT4,CT-4,-23.32058,-31.0,-23.02586786,-26.2985214234,Solid D,0.0%
85,CT5,CT-5,-2.564117,-10.7,-7.590161721,-5.68934657749,Likely D,9.4%
86,DE1,DE-1,-13.92317,-19.0,-14.33048083,-15.7619216727,Solid D,0.0%
87,FL1,FL-1,37.97575,32.3,24.59412981,36.0015520689,Solid R,100.0%
88,FL2,FL-2,16.45658,11.0,8.436857618,14.526024356419997,Solid R,100.0%
89,FL3,FL-3,18.11241,14.1,10.56784618,16.8056465642,Solid R,100.0%
90,FL4,FL-4,15.256879999999999,0.0,5.644887441,11.925705934289999,Solid R,99.4%
91,FL5,FL-5,23.23915,15.8,12.3667694,20.473471385999996,Solid R,100.0%
92,FL6,FL-6,27.749709999999997,23.7,17.84081117,26.449523407299996,Solid R,100.0%
93,FL7,FL-7,13.933710000000001,0.0,4.718060611,10.66430552159,Solid R,99.2%
94,FL8,FL-8,22.96675,17.6,13.41976812,21.0900125028,Solid R,100.0%
95,FL9,FL-9,-15.97086,-17.4,-13.66425019,-16.2486368311,Solid D,0.0%
96,FL10,FL-10,-29.01435,0.0,-24.36266203,-29.586981300699996,Solid D,0.0%
97,FL11,FL-11,19.282339999999998,10.9,8.798293419,16.102522259109996,Solid R,100.0%
98,FL12,FL-12,33.99388,28.7,21.81180261,32.17426740089999,Solid R,100.0%
99,FL13,FL-13,12.16665,0.0,5.243937177,10.19664215213,Solid R,99.4%
100,FL14,FL-14,-13.98686,-19.1,-14.40075775,-15.841347047499998,Solid D,0.0%
101,FL15,FL-15,7.0978449999999995,0.0,2.299211021,5.78244275449,Likely R,90.9%
102,FL16,FL-16,12.77148,8.9,6.610285827,11.51269282063,Solid R,99.4%
103,FL17,FL-17,22.32818,16.0,12.35218337,20.0372511253,Solid R,100.0%
104,FL18,FL-18,29.25595,22.8,17.51900949,26.926413048099995,Solid R,100.0%
105,FL19,FL-19,26.32021,21.0,15.98668258,24.4713096802,Solid R,100.0%
106,FL20,FL-20,-49.155190000000005,-52.4,-39.88867094,-50.2901222486,Solid D,0.0%
107,FL21,FL-21,13.59898,9.4,7.037727602,12.20155264538,Solid R,99.7%
108,FL22,FL-22,-13.69462,-17.6,-13.44567917,-15.029990027299998,Solid D,0.0%
109,FL23,FL-23,-8.813388,0.0,-10.0428903,-10.211886667,Solid D,0.8%
110,FL24,FL-24,-50.991620000000005,-49.1,-38.15793894,-49.9260392686,Solid D,0.0%
111,FL25,FL-25,-17.96772,-19.9,-15.48162605,-18.466150374499996,Solid D,0.0%
112,FL26,FL-26,13.604479999999999,18.3,12.44627836,16.0250376684,Solid R,100.0%
113,FL27,FL-27,-0.8268886999999999,0.3,5.0,3.924362311,Lean R,79.7%
114,FL28,FL-28,3.8998120000000003,6.3,3.7049839110000002,5.3123505385900005,Likely R,89.7%
115,GA1,GA-1,19.51325,13.4,10.35181868,17.3079823892,Solid R,100.0%
116,GA2,GA-2,-4.303485,-10.3,-7.606996693999999,-6.51446566886,Solid D,4.5%
117,GA3,GA-3,37.72735,30.1,23.22027436,34.91484380839999,Solid R,100.0%
118,GA4,GA-4,-50.03138,-57.7,-43.23991549,-53.0672902881,Solid D,0.0%
119,GA5,GA-5,-59.93855,-66.5,-50.06711376,-62.52242699439999,Solid D,0.0%
120,GA6,GA-6,24.23505,0.0,11.96871782,20.508888795799997,Solid R,100.0%
121,GA7,GA-7,-16.06375,-25.8,-18.78205289,-19.9075789941,Solid D,0.0%
122,GA8,GA-8,34.56982,27.6,21.22948281,32.0321585389,Solid R,100.0%
123,GA9,GA-9,46.10865,37.9,29.211882399999997,43.06626435599999,Solid R,100.0%
124,GA10,GA-10,31.15672,0.0,18.16756954,28.039281382599995,Solid R,100.0%
125,GA11,GA-11,24.05728,15.3,12.185201199999998,20.727710427999995,Solid R,100.0%
126,GA12,GA-12,16.87351,10.1,7.9523021289999996,14.37863816901,Solid R,100.0%
127,GA13,GA-13,-52.45721999999999,-60.4,-45.24290724,-55.616499395599995,Solid D,0.0%
128,GA14,GA-14,45.169579999999996,37.4,28.76777095,42.31346455549999,Solid R,100.0%
129,HI1,HI-1,-31.94248,-29.4,-23.34188994,-30.552869658600002,Solid D,0.0%
130,HI2,HI-2,-31.68955,0.0,-23.36486067,-30.155842362299996,Solid D,0.0%
131,IA1,IA-1,3.941143,2.9,1.645285176,3.8765839814399996,Lean R,78.1%
132,IA2,IA-2,5.458609,4.4,2.7834247710000004,5.39010932199,Likely R,91.3%
133,IA3,IA-3,2.251076,0.3,-0.187013735,1.79196624285,Tilt R,63.8%
134,IA4,IA-4,27.318309999999997,26.0,19.1738587,27.189568202999997,Solid R,100.0%
135,ID1,ID-1,45.506009999999996,38.2,29.30412495,42.8496709155,Solid R,100.0%
136,ID2,ID-2,26.67605,22.9,17.19430763,25.490815764699995,Solid R,100.0%
137,IL1,IL-1,-40.62955,0.0,-32.53875507,-40.6876294983,Solid D,0.0%
138,IL2,IL-2,-36.84659,-40.0,-30.51527901,-37.913439816899995,Solid D,0.0%
139,IL3,IL-3,-38.574459999999995,0.0,-31.62409407,-39.0906211083,Solid D,0.0%
140,IL4,IL-4,-43.97005,-46.4,-35.46829917,-44.74304992729999,Solid D,0.0%
141,IL5,IL-5,-35.361059999999995,-39.6,-30.05028197,-36.8903927593,Solid D,0.0%
142,IL6,IL-6,-6.162658,-10.9,-8.249341732000001,-7.837495055080001,Solid D,2.2%
143,IL7,IL-7,-70.00192,-72.8,-55.39862487,-70.9939535603,Solid D,0.0%
144,IL8,IL-8,-11.679689999999999,-15.4,-11.80788648,-12.930895971199998,Solid D,0.0%
145,IL9,IL-9,-37.835390000000004,-41.6,-31.63519162,-39.1669155178,Solid D,0.0%
146,IL10,IL-10,-20.956129999999998,-25.9,-19.57378438,-22.754292322199998,Solid D,0.0%
147,IL11,IL-11,-9.961191,-15.3,-11.49036455,-11.903111309499998,Solid D,0.2%
148,IL12,IL-12,46.41387,42.8,32.23477432,45.34451318079999,Solid R,100.0%
149,IL13,IL-13,-6.505558000000001,0.0,-8.482857421,-8.05078388049,Solid D,1.7%
150,IL14,IL-14,-6.49219,-11.5,-8.663143108,-8.283898044519999,Solid D,1.3%
151,IL15,IL-15,42.4285,38.7,29.14811919,41.30059724109999,Solid R,100.0%
152,IL16,IL-16,25.93611,21.5,16.233099199999998,24.465810147999996,Solid R,100.0%
153,IL17,IL-17,-3.546824,0.0,-5.9749189739999995,-4.92970137206,Likely D,17.4%
154,IN1,IN-1,-6.346558,-8.4,-6.757793231,-6.86975958939,Solid D,2.0%
155,IN2,IN-2,26.099339999999998,22.6,16.92585839,25.031532089099997,Solid R,100.0%
156,IN3,IN-3,34.171170000000004,29.9,22.56742351,32.7909721219,Solid R,100.0%
157,IN4,IN-4,33.35265,29.1,21.95904044,31.978483403599995,Solid R,100.0%
158,IN5,IN-5,21.72354,15.9,12.20108311,19.6478111459,Solid R,100.0%
159,IN6,IN-6,36.744240000000005,31.9,24.1670859,35.124082071000004,Solid R,100.0%
160,IN7,IN-7,-36.96736,-42.4,-31.99158726,-39.0128544094,Solid D,0.0%
161,IN8,IN-8,35.82268,32.8,24.57624462,34.98226838779999,Solid R,100.0%
162,IN9,IN-9,30.11917,0.0,20.38222819,29.079747351099996,Solid R,100.0%
163,KS1,KS-1,34.44489,29.6,22.42603701,32.8190638369,Solid R,100.0%
164,KS2,KS-2,20.91362,16.3,12.32311696,19.355352102399998,Solid R,100.0%
165,KS3,KS-3,3.199989,-4.5,1.0,3.00899483,Lean R,71.8%
166,KS4,KS-4,27.530990000000003,21.7,16.59291222,25.4656747318,Solid R,100.0%
167,KY1,KY-1,43.407709999999994,42.7,31.72486295,43.57877913549999,Solid R,100.0%
168,KY2,KY-2,37.633309999999994,36.7,27.21644985,37.6940060965,Solid R,100.0%
169,KY3,KY-3,-20.47426,0.0,-17.31439219,-20.7098328111,Solid D,0.0%
170,KY4,KY-4,33.69741,32.5,24.07642503,33.6355159707,Solid R,100.0%
171,KY5,KY-5,59.78954,59.4,44.31955917,60.13557962729999,Solid R,100.0%
172,KY6,KY-6,13.11894,11.0,7.938180825,12.613246569249998,Solid R,100.0%
173,LA1,LA-1,40.22432,39.0,29.00107565,40.1661725985,Solid R,100.0%
174,LA2,LA-2,-55.676590000000004,-52.5,-40.92379431,-54.07041537389999,Solid D,0.0%
175,LA3,LA-3,42.79865,37.6,28.5350523,41.040551586999996,Solid R,100.0%
176,LA4,LA-4,33.837720000000004,24.1,18.99346475,30.110219077500002,Solid R,100.0%
177,LA5,LA-5,34.14235,29.7,22.44159551,32.6886054019,Solid R,100.0%
178,LA6,LA-6,22.77275,30.4,21.16819058,26.473244000199998,Solid R,100.0%
179,MA1,MA-1,-21.63849,-21.7,-17.12377379,-21.3424942151,Solid D,0.0%
180,MA2,MA-2,-29.77662,-30.8,-23.86894279,-29.912581925099996,Solid D,0.0%
181,MA3,MA-3,-26.280559999999998,-27.4,-21.28072247,-26.449561704299995,Solid D,0.0%
182,MA4,MA-4,-27.753729999999997,-28.5,-22.1691998,-27.766000962,Solid D,0.0%
183,MA5,MA-5,-49.79446,-51.1,-39.19429127,-50.0984571763,Solid D,0.0%
184,MA6,MA-6,-26.04362,-27.6,-21.36684326,-26.399623249399998,Solid D,0.0%
185,MA7,MA-7,-73.41786,-72.4,-55.66595646,-72.7799041574,Solid D,0.0%
186,MA8,MA-8,-34.05433,-35.5,-27.36384245,-34.3815863905,Solid D,0.0%
187,MA9,MA-9,-16.72963,-18.2,-14.26370602,-17.026883253799998,Solid D,0.0%
188,MD1,MD-1,25.06874,14.5,11.85023544,20.963970253599996,Solid R,100.0%
189,MD2,MD-2,-10.99566,-20.8,-14.98677956,-14.8568380964,Solid D,0.0%
190,MD3,MD-3,-14.18876,-25.5,-18.31962763,-18.704260264699997,Solid D,0.0%
191,MD4,MD-4,-74.8873,0.0,-61.11095149,-76.50358752809998,Solid D,0.0%
192,MD5,MD-5,-27.6208,-36.5,-27.01021873,-31.123826923699998,Solid D,0.0%
193,MD6,MD-6,0.9533374,-9.8,-6.5177698589999995,-3.2871926247099994,Lean D,27.9%
194,MD7,MD-7,-54.88766,-63.5,-47.48963028,-58.3400450932,Solid D,0.0%
195,MD8,MD-8,-52.800230000000006,-62.6,-46.63089836,-56.75742796840001,Solid D,0.0%
196,ME1,ME-1,-16.01526,-22.8,-16.951978,-18.59203702,Solid D,0.0%
197,ME2,ME-2,10.29927,-6.0,-8.0,0.12065690000000107,Tossup,51.0%
198,MI1,MI-1,23.755470000000003,19.8,14.87435277,22.486374311299997,Solid R,100.0%
199,MI2,MI-2,31.02191,28.2,21.06395557,30.2564270433,Solid R,100.0%
200,MI3,MI-3,-2.744693,-8.5,-6.280399581,-4.84848142089,Likely D,16.1%
201,MI4,MI-4,8.712607,3.9,2.965799612,7.04032702228,Solid R,98.2%
202,MI5,MI-5,27.442940000000004,24.2,18.09878167,26.488341152300002,Solid R,100.0%
203,MI6,MI-6,-21.13806,-26.7,-20.08705454,-23.2019558326,Solid D,0.0%
204,MI7,MI-7,3.487974,-0.5,-0.488296805,2.15742298455,Lean R,65.9%
205,MI8,MI-8,1.201374,-2.0,-1.741352711,0.20311240941000008,Tossup,52.8%
206,MI9,MI-9,33.46297,29.5,22.21856735,32.2134073715,Solid R,100.0%
207,MI10,MI-10,5.404607,0.0,6.0,7.540165289999999,Solid R,98.0%
208,MI11,MI-11,-14.860629999999999,-19.8,-14.95663473,-16.642574063699996,Solid D,0.0%
209,MI12,MI-12,-43.95626,-48.5,-36.74221981,-45.6365738689,Solid D,0.0%
210,MI13,MI-13,-45.907759999999996,0.0,-37.70216442,-46.7311406498,Solid D,0.0%
211,MN1,MN-1,13.938310000000001,9.2,6.966904897,12.31017007893,Solid R,99.6%
212,MN2,MN-2,-1.1586940000000001,-7.2,-5.253542471,-3.3815304849900003,Lean D,26.0%
213,MN3,MN-3,-14.353760000000001,-21.0,-15.61003528,-16.8671915432,Solid D,0.0%
214,MN4,MN-4,-32.09563,-37.6,-28.34717408,-34.1604962152,Solid D,0.0%
215,MN5,MN-5,-57.11019,-63.1,-47.57865449,-59.442060898099996,Solid D,0.0%
